date,web_name,team,price_prev,new_price,direction
2025-12-30,Gabriel,Arsenal,6.2,6.3,up
2025-12-30,J.Timber,Arsenal,6.5,6.4,down
2025-12-30,White,Arsenal,5.2,5.1,down
2025-12-30,Merino,Arsenal,5.9,5.8,down
2025-12-30,Chalobah,Chelsea,5.5,5.6,up
2025-12-30,Enzo,Chelsea,6.5,6.4,down
2025-12-30,Richards,Crystal Palace,4.6,4.5,down
2025-12-30,Wirtz,Liverpool,8.1,8.2,up
2025-12-30,Dorgu,Man Utd,4.1,4.2,up
2025-12-30,McAtee,Nott'm Forest,5.1,5.0,down
2025-12-30,Udogie,Spurs,4.4,4.3,down
2025-12-30,Tchatchoua,Wolves,4.5,4.4,down
