date,web_name,team,price_prev,new_price,direction
2026-05-16,Raya,Arsenal,6.1,6.2,up
2026-05-16,Saliba,Arsenal,6.2,6.3,up
2026-05-16,Trossard,Arsenal,6.5,6.6,up
2026-05-16,Estève,Burnley,3.9,3.8,down
2026-05-16,Tavernier,Bournemouth,5.4,5.3,down
2026-05-16,Scott,Bournemouth,5.0,4.9,down
2026-05-16,Evanilson,Bournemouth,6.7,6.6,down
2026-05-16,O.Dango,Brentford,5.7,5.6,down
2026-05-16,F.Kadıoğlu,Brighton,4.4,4.5,up
2026-05-16,João Pedro,Chelsea,7.5,7.4,down
2026-05-16,Tarkowski,Everton,5.7,5.8,up
2026-05-16,Ndiaye,Everton,6.2,6.3,up
2026-05-16,Beto,Everton,5.0,5.1,up
2026-05-16,Andersen,Fulham,4.5,4.4,down
2026-05-16,Virgil,Liverpool,6.1,6.0,down
2026-05-16,Šeško,Man Utd,7.3,7.2,down
2026-05-16,Ballard,Sunderland,4.7,4.6,down
2026-05-16,Armstrong,Wolves,5.2,5.1,down
