date,web_name,team,price_prev,new_price,direction
2025-09-22,Delcroix,Burnley,4.0,3.9,down
2025-09-22,Semenyo,Bournemouth,7.6,7.7,up
2025-09-22,Lerma,Crystal Palace,5.0,4.9,down
2025-09-22,Castagne,Fulham,4.5,4.4,down
2025-09-22,Pécsi,Liverpool,4.0,3.9,down
2025-09-22,Chiesa,Liverpool,6.5,6.4,down
2025-09-22,Haaland,Man City,14.2,14.3,up
2025-09-22,Donnarumma,Man City,5.5,5.6,up
2025-09-22,D.Leon,Man Utd,4.4,4.3,down
2025-09-22,A.Murphy,Newcastle,4.0,3.9,down
2025-09-22,Elanga,Newcastle,7.0,6.9,down
2025-09-22,Yates,Nott'm Forest,4.9,4.8,down
2025-09-22,Johnson,Spurs,7.1,7.0,down
2025-09-22,Ward-Prowse,West Ham,5.9,5.8,down
