date,web_name,team,price_prev,new_price,direction
2025-12-08,Gabriel,Arsenal,6.3,6.2,down
2025-12-08,Saka,Arsenal,10.1,10.2,up
2025-12-08,Cash,Aston Villa,4.7,4.8,up
2025-12-08,Young,Aston Villa,4.4,4.3,down
2025-12-08,Boateng,Burnley,4.8,4.7,down
2025-12-08,Baleba,Brighton,4.7,4.6,down
2025-12-08,Chalobah,Chelsea,5.2,5.3,up
2025-12-08,Enzo,Chelsea,6.7,6.6,down
2025-12-08,George,Chelsea,4.9,4.8,down
2025-12-08,Dewsbury-Hall,Everton,5.0,5.1,up
2025-12-08,Byram,Leeds,3.9,3.8,down
2025-12-08,Mac Allister,Liverpool,6.3,6.2,down
2025-12-08,Ngumoha,Liverpool,4.4,4.3,down
2025-12-08,Ortega Moreno,Man City,4.8,4.7,down
2025-12-08,Gvardiol,Man City,5.8,5.9,up
2025-12-08,Obi,Man Utd,4.3,4.2,down
2025-12-08,Matete,Sunderland,4.4,4.3,down
2025-12-08,Alderete,Sunderland,4.1,4.0,down
2025-12-08,Pedro Porro,Spurs,5.4,5.3,down
