date,web_name,team,price_prev,new_price,direction
2026-03-15,Zubimendi,Arsenal,5.2,5.1,down
2026-03-15,Cash,Aston Villa,4.8,4.7,down
2026-03-15,Tavernier,Bournemouth,5.3,5.4,up
2026-03-15,Chalobah,Chelsea,5.6,5.5,down
2026-03-15,Perri,Leeds,4.5,4.4,down
2026-03-15,Szoboszlai,Liverpool,6.9,7.0,up
2026-03-15,Foden,Man City,8.1,8.0,down
2026-03-15,Casemiro,Man Utd,5.6,5.7,up
2026-03-15,Gibbs-White,Nott'm Forest,7.3,7.4,up
2026-03-15,Summerville,West Ham,5.7,5.6,down
2026-03-15,Angel,Wolves,4.8,4.7,down
