date,web_name,team,price_prev,new_price,direction
2025-10-04,Lewis-Skelly,Arsenal,5.3,5.2,down
2025-10-04,Saka,Arsenal,9.8,9.9,up
2025-10-04,Gyökeres,Arsenal,9.0,9.1,up
2025-10-04,Walker,Burnley,4.5,4.4,down
2025-10-04,Collins,Brentford,5.0,4.9,down
2025-10-04,Peart-Harris,Brentford,4.5,4.4,down
2025-10-04,Minteh,Brighton,5.9,6.0,up
2025-10-04,Tzimas,Brighton,5.4,5.3,down
2025-10-04,Chalobah,Chelsea,5.2,5.1,down
2025-10-04,Beto,Everton,5.4,5.3,down
2025-10-04,M.Salah,Liverpool,14.5,14.4,down
2025-10-04,Wirtz,Liverpool,8.2,8.1,down
2025-10-04,Gravenberch,Liverpool,5.6,5.7,up
2025-10-04,Haaland,Man City,14.4,14.5,up
2025-10-04,Burn,Newcastle,5.0,5.1,up
2025-10-04,Barnes,Newcastle,6.5,6.4,down
2025-10-04,Woltemade,Newcastle,7.1,7.2,up
2025-10-04,Poveda,Sunderland,4.9,4.8,down
2025-10-04,Bentancur,Spurs,5.4,5.3,down
