date,web_name,team,price_prev,new_price,direction
2026-01-18,Saka,Arsenal,10.2,10.1,down
2026-01-18,Rice,Arsenal,7.3,7.4,up
2026-01-18,Harriman-Annous,Arsenal,4.5,4.4,down
2026-01-18,Sousa,Aston Villa,3.9,3.8,down
2026-01-18,Gusto,Chelsea,5.0,4.9,down
2026-01-18,Mateta,Crystal Palace,7.6,7.5,down
2026-01-18,Keane,Everton,4.8,4.7,down
2026-01-18,Foden,Man City,8.7,8.6,down
2026-01-18,B.Fernandes,Man Utd,9.1,9.2,up
2026-01-18,Woltemade,Newcastle,7.3,7.2,down
2026-01-18,Roefs,Sunderland,4.9,5.0,up
2026-01-18,Bowen,West Ham,7.7,7.6,down
