date,web_name,team,price_prev,new_price,direction
2026-02-11,Saka,Arsenal,9.9,9.8,down
2026-02-11,Rice,Arsenal,7.5,7.6,up
2026-02-11,Watkins,Aston Villa,8.7,8.6,down
2026-02-11,Hill,Bournemouth,3.9,4.0,up
2026-02-11,Lewis-Potter,Brentford,4.9,4.8,down
2026-02-11,Welbeck,Brighton,6.2,6.1,down
2026-02-11,James,Chelsea,5.7,5.6,down
2026-02-11,Muñoz,Crystal Palace,5.8,5.9,up
2026-02-11,Sarr,Crystal Palace,6.3,6.4,up
2026-02-11,Tarkowski,Everton,5.8,5.7,down
2026-02-11,Raúl,Fulham,6.2,6.1,down
2026-02-11,Stach,Leeds,4.8,4.7,down
2026-02-11,Alleyne,Man City,4.2,4.1,down
2026-02-11,Heaven,Man Utd,3.8,3.7,down
2026-02-11,Thiaw,Newcastle,5.1,5.0,down
2026-02-11,Roefs,Sunderland,5.0,4.9,down
2026-02-11,Bowen,West Ham,7.7,7.6,down
