date,web_name,team,price_prev,new_price,direction
2025-09-23,G.Jesus,Arsenal,6.5,6.4,down
2025-09-23,Rogers,Aston Villa,7.0,6.9,down
2025-09-23,McGinn,Aston Villa,5.5,5.4,down
2025-09-23,Henry,Brentford,4.5,4.4,down
2025-09-23,Milambo,Brentford,5.4,5.3,down
2025-09-23,Baleba,Brighton,4.9,4.8,down
2025-09-23,Gomez,Brighton,5.0,4.9,down
2025-09-23,Delap,Chelsea,6.3,6.2,down
2025-09-23,Mainoo,Man Utd,4.9,4.8,down
2025-09-23,J.Ramsey,Newcastle,5.4,5.3,down
2025-09-23,Johnson,Sunderland,4.0,3.9,down
2025-09-23,Rigg,Sunderland,4.9,4.8,down
2025-09-23,J.Arias,Wolves,5.3,5.2,down
