date,web_name,team,price_prev,new_price,direction
2026-09-13,Zubimendi,Arsenal,5.4,5.3,down
2026-09-13,Havertz,Arsenal,7.5,7.6,up
2026-09-13,Bruno G.,Arsenal,6.8,6.7,down
2026-09-13,Onana,Aston Villa,5.0,4.9,down
2026-09-13,Garnacho,Aston Villa,5.9,5.8,down
2026-09-13,Madjo,Aston Villa,5.5,5.4,down
2026-09-13,Milosavljević,Bournemouth,5.0,4.9,down
2026-09-13,Anthony,Brentford,6.0,5.9,down
2026-09-13,Tzimas,Brighton,5.5,5.4,down
2026-09-13,Rogers,Chelsea,7.6,7.7,up
2026-09-13,Palestra,Chelsea,5.4,5.3,down
2026-09-13,Estêvão,Chelsea,6.4,6.3,down
2026-09-13,João Pedro,Chelsea,7.7,7.8,up
2026-09-13,Grimes,Coventry City,5.0,4.9,down
2026-09-13,Sarr,Crystal Palace,6.3,6.2,down
2026-09-13,Mateta,Crystal Palace,6.4,6.3,down
2026-09-13,Keane,Everton,4.9,4.8,down
2026-09-13,Kevin,Fulham,5.4,5.3,down
2026-09-13,Hughes,Hull City,4.0,3.9,down
2026-09-13,Okafor,Leeds,5.9,5.8,down
2026-09-13,James,Leeds,5.0,4.9,down
2026-09-13,Lammens,Man Utd,5.0,4.9,down
2026-09-13,Hudson-Odoi,Nott'm Forest,5.9,5.8,down
2026-09-13,Wood,Nott'm Forest,5.9,5.8,down
2026-09-13,Igor Jesus,Nott'm Forest,5.9,5.8,down
2026-09-13,Senesi,Spurs,5.9,5.8,down
2026-09-13,Gray,Spurs,5.0,4.9,down
