date,web_name,team,price_prev,new_price,direction
2025-08-28,Zinchenko,Arsenal,5.0,4.9,down
2025-08-28,Sima,Brighton,5.5,5.4,down
2025-08-28,Nkunku,Chelsea,6.0,5.9,down
2025-08-28,Esse,Crystal Palace,5.0,4.9,down
2025-08-28,Alcaraz,Everton,5.5,5.4,down
2025-08-28,Beto,Everton,5.5,5.4,down
2025-08-28,Piroe,Leeds,5.5,5.4,down
2025-08-28,Longstaff,Leeds,5.0,4.9,down
2025-08-28,Ugarte,Man Utd,5.0,4.9,down
2025-08-28,Zirkzee,Man Utd,6.0,5.9,down
2025-08-28,Aleksić,Sunderland,5.0,4.9,down
2025-08-28,Mundle,Sunderland,5.0,4.9,down
2025-08-28,Bryan,Spurs,5.0,4.9,down
2025-08-28,Fábio Silva,Wolves,5.0,4.9,down
