date,web_name,team,price_prev,new_price,direction
2026-05-09,Merino,Arsenal,5.4,5.3,down
2026-05-09,Scott,Bournemouth,5.1,5.0,down
2026-05-09,Verbruggen,Brighton,4.5,4.6,up
2026-05-09,Welbeck,Brighton,6.3,6.4,up
2026-05-09,Palmer,Chelsea,10.4,10.3,down
2026-05-09,Andrey Santos,Chelsea,4.5,4.4,down
2026-05-09,Struijk,Leeds,4.4,4.3,down
2026-05-09,O'Reilly,Man City,5.2,5.3,up
2026-05-09,Doku,Man City,6.4,6.5,up
2026-05-09,Mbeumo,Man Utd,8.4,8.3,down
2026-05-09,Gordon,Newcastle,7.4,7.3,down
2026-05-09,Thiaw,Newcastle,5.0,4.9,down
2026-05-09,Gibbs-White,Nott'm Forest,7.7,7.6,down
2026-05-09,Summerville,West Ham,5.5,5.4,down
2026-05-09,Bowen,West Ham,7.8,7.7,down
