date,web_name,team,price_prev,new_price,direction
2025-12-28,Nørgaard,Arsenal,5.2,5.1,down
2025-12-28,Rogers,Aston Villa,7.3,7.4,up
2025-12-28,Hannibal,Burnley,4.8,4.7,down
2025-12-28,Van Hecke,Brighton,4.6,4.5,down
2025-12-28,Welbeck,Brighton,6.4,6.3,down
2025-12-28,James,Chelsea,5.6,5.7,up
2025-12-28,Ekitiké,Liverpool,9.0,9.1,up
2025-12-28,De Ligt,Man Utd,5.0,4.9,down
2025-12-28,Dalot,Man Utd,4.4,4.5,up
2025-12-28,Cunha,Man Utd,8.0,8.1,up
2025-12-28,L.Miley,Newcastle,4.4,4.5,up
2025-12-28,Pedro Porro,Spurs,5.3,5.2,down
2025-12-28,P.M.Sarr,Spurs,4.6,4.5,down
