date,web_name,team,price_prev,new_price,direction
2026-02-07,Nichols,Arsenal,3.8,3.7,down
2026-02-07,Cash,Aston Villa,4.8,4.9,up
2026-02-07,Chalobah,Chelsea,5.7,5.8,up
2026-02-07,Acheampong,Chelsea,3.8,3.7,down
2026-02-07,Enzo,Chelsea,6.8,6.9,up
2026-02-07,Frimpong,Liverpool,5.8,5.7,down
2026-02-07,Wirtz,Liverpool,8.3,8.4,up
2026-02-07,Semenyo,Man City,7.8,7.9,up
2026-02-07,O'Reilly,Man City,5.0,4.9,down
2026-02-07,Cherki,Man City,6.6,6.5,down
2026-02-07,Dorgu,Man Utd,4.4,4.3,down
2026-02-07,Cunha,Man Utd,8.0,8.1,up
2026-02-07,Gordon,Newcastle,7.3,7.2,down
2026-02-07,Brobbey,Sunderland,5.6,5.5,down
2026-02-07,Summerville,West Ham,5.5,5.6,up
