date,web_name,team,price_prev,new_price,direction
2026-09-12,Eze,Arsenal,6.4,6.3,down
2026-09-12,Merino,Arsenal,5.9,5.8,down
2026-09-12,Konsa,Arsenal,4.4,4.5,up
2026-09-12,Jensen,Brentford,5.5,5.4,down
2026-09-12,Dasilva,Brentford,5.0,4.9,down
2026-09-12,Georginio,Brighton,5.5,5.4,down
2026-09-12,Penders,Chelsea,4.5,4.4,down
2026-09-12,Alcaraz,Everton,5.0,4.9,down
2026-09-12,Berge,Fulham,5.0,4.9,down
2026-09-12,Sessegnon,Fulham,4.5,4.4,down
2026-09-12,Ajayi,Hull City,4.1,4.2,up
2026-09-12,Walton,Ipswich Town,4.5,4.4,down
2026-09-12,Clarke,Ipswich Town,5.5,5.4,down
2026-09-12,Ampadu,Leeds,5.5,5.4,down
2026-09-12,Endo,Liverpool,5.0,4.9,down
2026-09-12,Lewis,Man City,4.5,4.4,down
2026-09-12,Hall,Newcastle,5.1,5.2,up
2026-09-12,Elanga,Newcastle,6.1,6.2,up
2026-09-12,Robertson,Spurs,4.5,4.4,down
2026-09-12,Xavi,Spurs,6.0,5.9,down
2026-09-12,Olusesi,Spurs,4.5,4.4,down
2026-09-12,E.Le Fée,Sunderland,5.9,5.8,down
2026-09-12,Brobbey,Sunderland,5.9,5.8,down
